"","PrimaryCodes"
"1","71536"
"2","71596"
"3","72210"
"4","7242"
"5","72252"
"6","72402"
"7","71516"
"8","71946"
"9","7295"
"10","71535"
"11","71595"
"12","7140"
"13","7231"
"14","7220"
