"","cptcodes_clubbed"
"431","99245"
"432","E1390"
"433","15830"
"434","29893"
"435","71020"
"436","82550"
"437","99219"
"438","22830"
"439","83970"
"440","00300"
"441","27138"
"442","99220"
"443","L0627"
"444","25118"
"445","83520"
"446","29882"
"447","69990"
"448","27698"
"449","29999"
"450","82040"
"451","28725"
"452","00450"
"453","27347"
"454","86160"
"455","A9579"
"456","28470"
"457","36475"
"458","27870"
"459","L0636"
"460","L1843"
"461","83925"
"462","27487"
"463","29405"
"464","24359"
"465","29870"
"466","29871"
"467","73550"
"468","72080"
"469","26020"
"470","23410"
"471","27176"
"472","G0289"
"473","20912"
"474","Q2051"
"475","93922"
"476","61782"
"477","99243"
"478","77077"
"479","86200"
"480","Y2740"
"481","73223"
"482","E0114"
"483","28250"
"484","Y4240"
"485","29837"
"486","26525"
"487","27664"
"488","L0639"
"489","X2030"
"490","10120"
"491","74176"
"492","J1030"
"493","99238"
"494","23405"
"495","E1810"
"496","80101"
"497","01935"
"498","26123"
"499","A4216"
"500","28298"
"501","27610"
"502","L3671"
"503","01250"
"504","73660"
"505","S2350"
"506","22634"
"507","30420"
"508","63077"
"509","29075"
"510","24342"
"511","95939"
"512","27680"
"513","73220"
"514","L1960"
"515","99217"
"516","72126"
"517","25115"
"518","31231"
"519","62290"
"520","X1110"
"521","70551"
"522","76881"
"523","93000"
"524","31276"
"525","95934"
"526","27450"
"527","20612"
"528","26145"
"529","86147"
"530","L3960"
"531","L3908"
"532","27438"
"533","27695"
"534","27894"
"535","Y4800"
"536","93925"
"537","88342"
"538","99496"
"539","29825"
"540","28585"
"541","01712"
"542","26546"
"543","92083"
"544","72114"
"545","92134"
"546","25310"
"547","73090"
"548","99225"
"549","J2785"
"550","00400"
"551","26442"
"552","27340"
"553","63005"
"554","L3808"
"555","64450"
"556","97003"
"557","Y6190"
"558","01202"
"559","24358"
"560","01270"
"561","95885"
"562","L1907"
"563","L1846"
"564","24149"
"565","82607"
"566","97002"
"567","28322"
"568","72192"
"569","L8689"
"570","64640"
"571","63003"
"572","28119"
"573","27181"
"574","28090"
"575","L2330"
"576","72149"
"577","71250"
"578","20926"
"579","23515"
"580","29828"
"581","29884"
"582","86141"
"583","97150"
"584","27635"
"585","86618"
"586","25810"
"587","72265"
"588","24665"
"589","72220"
"590","26850"
"591","86480"
"592","28060"
"593","27705"
"594","70486"
"595","86225"
"596","28200"
"597","01392"
"598","87641"
"599","29838"
"600","22848"
"601","21087"
"602","J3370"
"603","72128"
"604","28297"
"605","J0696"
"606","83735"
"607","29846"
"608","27566"
"609","28310"
"610","27001"
"611","95920"
"612","74177"
"613","00802"
